Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,Owner Group,Status,Alternative Fuel Types,SOx Scrubber Status,Eco - Electronic Engine
Container,Horizon Spirit,"2,172",TEU,"46,154","34,077",United States,1980,7,Avondale SY,The Pasha Group,In Service,,,
Container,Horizon Reliance,"2,653",TEU,"45,805","34,077",United States,1980,12,Avondale SY,The Pasha Group,In Service,,,
Container,MSC Tasmania,"2,680",TEU,"45,696","34,231",Panama,1993,8,Howaldtswerke Werft,MSC,In Service,,Fitted,
Container,MSC America,"2,680",TEU,"45,696","34,231",Panama,1993,1,Thyssen Nordsee,MSC,In Service,,,
Container,MSC Eloise,"2,440",TEU,"44,541","37,902",Panama,1991,7,I.H.I. (Kure),MSC,In Service,,,
Container,MSC Levina,"2,900",TEU,"43,140","36,420",Panama,1989,4,Samsung S.B (Busan),MSC,In Service,,,
Container,Athena,"2,762",TEU,"43,093","34,610",Panama,2003,1,Koyo Dock,Global Ship Lease,In Service,,,
Container,Bellatrix I,"2,762",TEU,"43,093","34,610",Liberia,2003,3,Koyo Dock,XT Group,In Service,,,
Container,Port Klang Voyager,"2,762",TEU,"43,093","34,610",South Korea,2003,4,Koyo Dock,Sinokor Merchant,In Service,,,
Container,MSC Manya,"2,762",TEU,"43,093","34,610",Liberia,2003,5,Koyo Dock,MSC,In Service,,,
Container,MSC Sabrina,"2,668",TEU,"43,078","35,598",Panama,1989,2,Daewoo (DSME),MSC,In Service,,,
Container,MSC Maria Laura,"2,591",TEU,"42,513","36,389",Panama,1988,8,Samsung S.B (Busan),MSC,In Service,,,
Container,MSC Lara,"2,480",TEU,"41,830","28,892",Panama,1994,4,Flensburger SB,MSC,In Service,,,
Container,MSC Jasmine,"2,073",TEU,"41,828","31,430",Panama,1988,4,Ch. Nord et Med,MSC,In Service,,,
Container,MSC Nicole,"2,073",TEU,"41,828","31,430",Panama,1989,7,Ch. Nord et Med,MSC,In Service,,,
Container,MSC Chiara,"2,073",TEU,"41,815","31,430",Panama,1987,4,Ch. Nord et Med,MSC,In Service,,,
Container,MSC Denisse,"2,073",TEU,"41,771","31,430",Panama,1988,1,Ch. de l'Atlantique,MSC,In Service,,,
Container,MSC Eleonora,"2,480",TEU,"41,667","28,892",Panama,1994,10,Flensburger SB,MSC,In Service,,,
Container,New Jersey Trader,"2,758",TEU,"41,636","35,708",Malta,2011,5,Guangzhou Wenchong,Lomar Shipping,In Service,,,Eco – Electronic Engine
Container,MSC Mediterranean,"2,480",TEU,"41,583","29,181",Panama,1995,3,Flensburger SB,MSC,In Service,,,
Container,MSC Canberra,"2,480",TEU,"41,583","29,181",Panama,1995,7,Flensburger SB,MSC,In Service,,,
Container,Ze Hong,"2,480",TEU,"41,553","28,892",Peoples' Republic of China,1995,10,Thyssen Nordsee,Zhonggu Logistics,In Service,,,
Container,Cape Marin,"2,758",TEU,"41,463","35,708",Marshall Islands,2012,6,Guangzhou Wenchong,Schoeller Holdings,Idle,,,Eco – Electronic Engine
Container,GH Meltemi,"2,758",TEU,"41,253","35,878",Madeira,2010,9,Guangzhou Wenchong,Celsius Shipping,In Service,,,Eco – Electronic Engine
Container,Xin Feng Tian Jin,"2,539",TEU,"41,206","28,583",Peoples' Republic of China,2015,9,Taizhou Maple Leaf,Trawind Shipping,In Service,,,Eco – Electronic Engine Modern
Container,Xin Feng Quan Zhou,"2,539",TEU,"41,154","28,583",Peoples' Republic of China,2016,2,Taizhou Maple Leaf,Trawind Shipping,In Service,,,Eco – Electronic Engine Modern
Container,Ete N,"2,790",TEU,"41,139","35,878",Liberia,2012,10,Guangzhou Wenchong,Navios Holdings,In Service,,,Eco – Electronic Engine
Container,Fleur N,"2,790",TEU,"41,130","35,887",Liberia,2012,11,Guangzhou Wenchong,Navios Holdings,In Service,,,Eco – Electronic Engine
Container,Zhong Gu Shang Hai,"2,500",TEU,"41,000","28,580",Peoples' Republic of China,2015,6,Zhoushan Wuzhou,Zhonggu Logistics,In Service,,,Eco – Electronic Engine Modern
Container,Zhong Gu Guang Zhou,"2,500",TEU,"41,000","28,580",Peoples' Republic of China,2016,12,Zhoushan Changhong,Zhonggu Logistics,In Service,,,Eco – Electronic Engine Modern
Container,OOCL Belgium,"2,808",TEU,"40,972","39,174",Hong Kong,1998,9,Daewoo (DSME),China COSCO Shipping,In Service,,,
Container,Mississauga Express,"2,808",TEU,"40,881","39,174",Bermuda,1998,7,Daewoo (DSME),Hapag-Lloyd,In Service,,,
Container,Ottawa Express,"2,808",TEU,"40,879","39,174",Bermuda,1998,9,Daewoo (DSME),Hapag-Lloyd,In Service,,,
Container,Zhong Gu Dong Guan,"2,400",TEU,"40,628","28,205",Peoples' Republic of China,2020,12,Xiamen Shipbuilding,Zhonggu Logistics,In Service,,,Eco – Electronic Engine Modern
Container,Ren Jian Fu Zhou,"2,400",TEU,"40,605","28,176",Peoples' Republic of China,2019,5,Taizhou Sanfu,Quanzhou Ansheng,In Service,,,
Container,Hui Fa,"2,400",TEU,"40,605","28,176",Peoples' Republic of China,2020,6,Taizhou Sanfu,Fujian Huihai Shpg,In Service,,,
Container,Ren Jian Tang Shan,"2,400",TEU,"40,599","28,221",Peoples' Republic of China,2017,11,Xiamen Shipbuilding,Quanzhou Ansheng,In Service,,,Eco – Electronic Engine Modern
Container,Ren Jian Shi Hu,"2,400",TEU,"40,599","28,221",Peoples' Republic of China,2017,12,Xiamen Shipbuilding,Quanzhou Ansheng,In Service,,,Eco – Electronic Engine Modern
Container,Ren Jian Hai Shun,"2,400",TEU,"40,592","28,221",Peoples' Republic of China,2018,3,Xiamen Shipbuilding,Quanzhou Ansheng,In Service,,,Eco – Electronic Engine Modern
Container,Zhong Gu Xia Men,"2,500",TEU,"40,584","28,433",Peoples' Republic of China,2017,10,CSC Jinling Shipyard,Zhonggu Logistics,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Zhong Gu Zhu Hai,"2,500",TEU,"40,584","28,433",Peoples' Republic of China,2018,1,CMJL (Nanjing),Zhonggu Logistics,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Zhong Gu Tian Jin,"2,500",TEU,"40,584","28,433",Peoples' Republic of China,2018,6,CMJL (Nanjing),Zhonggu Logistics,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Zhong Gu Bei Jing,"2,500",TEU,"40,584","28,433",Peoples' Republic of China,2018,8,CMJL (Nanjing),Zhonggu Logistics,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Ren Jian Ri Zhao,"2,400",TEU,"40,577","28,221",Peoples' Republic of China,2018,3,Xiamen Shipbuilding,Quanzhou Ansheng,In Service,,,Eco – Electronic Engine Modern
Container,Ren Jian Xia Men,"2,400",TEU,"40,529","28,213",Peoples' Republic of China,2018,6,Xiamen Shipbuilding,Quanzhou Ansheng,In Service,,,Eco – Electronic Engine Modern
Container,Ren Jian Shi Dai,"2,400",TEU,"40,529",,Peoples' Republic of China,2019,3,Xiamen Shipbuilding,Quanzhou Ansheng,In Service,,,Eco – Electronic Engine Modern
Container,Zhong Gu Peng Lai,"2,500",TEU,"40,526","28,433",Peoples' Republic of China,2018,1,Shanghai Shipyard,Zhonggu Logistics,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Zhong Gu Lin Yi,"2,500",TEU,"40,526","28,433",Peoples' Republic of China,2018,4,Shanghai Shipyard,Zhonggu Logistics,Idle,,Fitted,Eco – Electronic Engine Modern
