Ship_ID,Vessel_Name,Service,ETA,ATA,Berth,Side,NextPort,Delay,Size,Dwt,GT,Flag,Built_Year,Built_Month,Builder,Owner,Alternative_Fuel,SOx_Scrubber,Eco_Engine,Days_Before_ETA_Info,ETA_Year,ETA_Month,ETA_Day,ETA_Weekday,ETA_Hour,date,new_cases
AL DAHNA - C07/D07,al dahna,FE2,2021-09,2021-03-09 02:58:00,SCT5,Starboard,Hamburg,6418.0,18800,199744,195636,Malta,2016,1,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,1,13.0,2021,3,4,3,16,2021-09,42339.0
AL DAHNA - C23/D23,al dahna,FE2,2021-29,2021-07-21 23:36:00,SCT5,Starboard,Hamburg,966.0,18800,199744,195636,Malta,2016,1,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,1,11.0,2021,7,21,2,7,2021-29,268123.0
AL DAHNA - C26/D26,al dahna,FE2,2020-31,2020-08-07 20:40:00,SCT5,Starboard,Hamburg,1540.0,18800,199744,195636,Malta,2016,1,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,1,13.0,2020,8,6,3,19,2020-31,6265.0
AL DAHNA - C40/D40,al dahna,FE2,2020-46,2020-11-22 07:45:00,SCT5,Starboard,Hamburg,5625.0,18800,199744,195636,Malta,2016,1,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,1,13.0,2020,11,18,2,10,2020-46,142919.0
AL HILAL - O27/O27,al hilal,AL2,2021-27,2021-07-10 15:48:00,SCT3,Starboard,Rotterdam,7698.0,6921,85437,75579,Liberia,2008,9,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,1,15.0,2021,7,5,0,7,2021-27,218994.0
AL KHARJ - O17/O17,al kharj,AL2,2021-17,2021-04-28 09:00:00,SCT2,Starboard,Rotterdam,2970.0,6921,85614,75579,Liberia,2008,2,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,1,11.0,2021,4,26,0,7,2021-17,15388.0
AL NEFUD - C02/D02,al nefud,FE2,2021-03,2021-01-26 23:41:00,SCT5,Starboard,Hamburg,10331.0,18800,199744,195636,Malta,2015,11,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,1,15.0,2021,1,19,1,19,2021-03,252117.0
AL NEFUD - C16/D16,al nefud,FE2,2021-20,2021-05-22 21:08:00,SCT5,Starboard,Hamburg,7749.0,18800,199744,195636,Malta,2015,11,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,1,12.0,2021,5,17,0,11,2021-20,11801.0
AL NEFUD - C29/D29,al nefud,FE2,2021-36,2021-09-10 04:30:00,SCT5,Starboard,Hamburg,-150.0,18800,199744,195636,Malta,2015,11,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,1,16.0,2021,9,10,4,7,2021-36,249212.0
AL NEFUD - C35/D35,al nefud,FE2,2020-40,2020-10-09 04:19:00,SCT5,Starboard,Hamburg,529.0,18800,199744,195636,Malta,2015,11,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,1,14.0,2020,10,8,3,19,2020-40,100828.0
