Vessel Name,Service,Phase,ETA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Ship_ID
AL DAHNA,FE2,INBOUND,2021-03-04 16:00:00,SCT5,Starboard,2021-03-07 04:00:00,"Hamburg, Germany",C07/D07,2021-02-20 00:00:00,2577,AL DAHNA - C07/D07
AL DAHNA,FE2,ARRIVED,2021-03-09 02:58:00,SCT5,Starboard,2021-03-12 07:00:00,"Hamburg, Germany",C07/D07,2021-03-10 00:00:00,1008,AL DAHNA - C07/D07
AL DAHNA,FE2,INBOUND,2021-07-21 07:30:00,SCT5,Starboard,2021-07-24 07:30:00,"Hamburg, Germany",C23/D23,2021-07-10 00:00:00,1261,AL DAHNA - C23/D23
AL DAHNA,FE2,ARRIVED,2021-07-21 23:36:00,SCT5,Starboard,2021-07-26 19:30:00,"Hamburg, Germany",C23/D23,2021-07-25 00:00:00,3778,AL DAHNA - C23/D23
AL DAHNA,FE2,INBOUND,2020-08-06 19:00:00,SCT5,Starboard,2020-08-08 19:00:00,"Hamburg, Germany",C26/D26,2020-07-25 00:00:00,3686,AL DAHNA - C26/D26
AL DAHNA,FE2,ARRIVED,2020-08-07 20:40:00,SCT5,Starboard,2020-08-09 14:25:00,"Hamburg, Germany",C26/D26,2020-08-10 00:00:00,1304,AL DAHNA - C26/D26
AL DAHNA,FE2,INBOUND,2020-11-18 10:00:00,SCT5,Starboard,2020-11-20 10:00:00,"Hamburg, Germany",C40/D40,2020-11-05 00:00:00,785,AL DAHNA - C40/D40
AL DAHNA,FE2,ARRIVED,2020-11-22 07:45:00,SCT5,Starboard,2020-11-24 01:20:00,"Hamburg, Germany",C40/D40,2020-11-25 00:00:00,4105,AL DAHNA - C40/D40
AL HILAL,AL2,INBOUND,2021-07-05 07:30:00,SCT3,Starboard,2021-07-05 19:30:00,"Rotterdam, Netherlands",O27/O27,2021-06-20 00:00:00,2807,AL HILAL - O27/O27
AL HILAL,AL2,ARRIVED,2021-07-10 15:48:00,SCT3,Starboard,2021-07-11 07:02:00,"Le Havre, France",O27/O27,2021-07-15 00:00:00,2038,AL HILAL - O27/O27
AL KHARJ,AL2,INBOUND,2021-04-26 07:30:00,SCT2,Starboard,2021-04-27 07:30:00,"Rotterdam, Netherlands",O17/O17,2021-04-15 00:00:00,1829,AL KHARJ - O17/O17
AL KHARJ,AL2,ARRIVED,2021-04-28 09:00:00,SCT3,Starboard,2021-04-28 21:45:00,"Rotterdam, Netherlands",O17/O17,2021-04-30 00:00:00,4333,AL KHARJ - O17/O17
AL NEFUD,FE2,INBOUND,2021-01-19 19:30:00,SCT5,Starboard,2021-01-21 19:30:00,"Hamburg, Germany",C02/D02,2021-01-05 00:00:00,69,AL NEFUD - C02/D02
AL NEFUD,FE2,ARRIVED,2021-01-26 23:41:00,SCT5,Starboard,2021-02-01 07:30:00,"Hamburg, Germany",C02/D02,2021-01-30 00:00:00,4276,AL NEFUD - C02/D02
AL NEFUD,FE2,INBOUND,2021-05-17 11:59:00,SCT5,Starboard,2021-05-20 19:30:00,"Hamburg, Germany",C16/D16,2021-05-05 00:00:00,278,AL NEFUD - C16/D16
AL NEFUD,FE2,ARRIVED,2021-05-22 21:08:00,SCT5,Starboard,2021-05-27 07:00:00,"Hamburg, Germany",C16/D16,2021-05-25 00:00:00,3585,AL NEFUD - C16/D16
