Vessel Name,Service,Phase,ETA,Berth,Side to,ETD,Next port of call,Ref,Recording
NYK WREN,FP2,DEPARTED,25-06-20,SCT2,Starboard,28-06-20,"Jeddah, Saudi Arabia",G22 /,04-07-20
,,,11:03,,,17:29,,H22,04-07-20
BG SAPPHIRE,BGLP3N,CLOSED,24-06-20,SCT1,Portside,25-06-20,"Cork, Ireland",23L /,04-07-20
,,,14:40,,,2:36,,23L,04-07-20
BG DIAMOND,BGLP2,CLOSED,24-06-20,SCT4,Portside,26-06-20,"Rotterdam, Netherlands",24L /,04-07-20
,,,22:40,,,9:42,,24L,04-07-20
MAERSK BALI,ECU,CLOSED,25-06-20,SCT1,Starboard,25-06-20,"Antwerpen, Belgium",Q26 /,04-07-20
,,,5:10,,,23:11,,P26,04-07-20
INDEPENDENT SPIRIT,ICL,CLOSED,25-06-20,SCT3,Portside,26-06-20,"Antwerpen, Belgium",Y25 /,04-07-20
,,,19:17,,,8:36,,Z25,04-07-20
HMM OSLO,FE2,CLOSED,26-06-20,SCT5,Starboard,28-06-20,"Hamburg, Germany",C20 /,04-07-20
,,,5:20,,,2:50,,D20,04-07-20
COSCO PHILIPPINES,ATA,CLOSED,27-06-20,SCT3,Starboard,28-06-20,"Antwerpen, Belgium",T24 /,04-07-20
,,,7:58,,,0:35,,U24,04-07-20
APL HOLLAND,ADHOC,CANCELED,28-06-20,SCT3,Starboard,04-07-20,"OPTIONAL,",X24 /,04-07-20
,,,7:30,,,10:30,,X24,04-07-20
CMA CGM ANTOINE DE SAINT EXUPERY,NEU4I,DEPARTED,28-06-20,SCT5,Starboard,30-06-20,"Dunkerque, France",M24 /,04-07-20
,,,7:38,,,10:07,,M24,04-07-20
JPO TAURUS,ADHOC,DEPARTED,28-06-20,SCT3,Starboard,29-06-20,"OPTIONAL,",X22 /,04-07-20
,,,13:54,,,16:49,,X22,04-07-20
APL NEW YORK,EPIC1,DEPARTED,30-06-20,SCT1,Starboard,30-06-20,"Rotterdam, Netherlands",R26 /,04-07-20
,,,9:05,,,20:20,,S26,04-07-20
MONTREAL EXPRESS,GEX2,DEPARTED,30-06-20,SCT4,Starboard,30-06-20,"Antwerpen, Belgium",V24 /,04-07-20
,,,6:30,,,17:05,,W24,04-07-20
ADILIA I,ADHOC,DEPARTED,30-06-20,SCT3,Starboard,01-07-20,"OPTIONAL,",X25 /,04-07-20
,,,7:00,,,6:05,,X25,04-07-20
NYK METEOR,AL5,DEPARTED,30-06-20,SCT5,Starboard,01-07-20,"Rotterdam, Netherlands",K28 /,04-07-20
,,,14:15,,,11:20,,L28,04-07-20
OOCL RAUMA,RFS4,DEPARTED,30-06-20,SCT4,Starboard,01-07-20,"Rotterdam, Netherlands",26R /,04-07-20
,,,19:55,,,2:35,,26R,04-07-20
