Vessel Name,Service,Phase,ETA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.
NYK WREN,FP2,DEPARTED,25-06-20 11:03,SCT2,Starboard,28-06-20 17:29,"Jeddah, Saudi Arabia",G22/H22,04-07-20,0
MSC ALBANY,EPIC1,INBOUND,06-07-20 19:30,SCT3,Starboard,07-07-20 7:30,"Rotterdam, Netherlands",R27/S27,04-07-20,1
QUEBEC EXPRESS,GEX2,INBOUND,07-07-20 7:00,SCT3,Starboard,07-07-20 19:00,"Antwerpen, Belgium",V25/W25,04-07-20,2
BG EMERALD,BGLP3N,INBOUND,07-07-20 7:00,SCT1,Portside,08-07-20 7:00,"Cork, Ireland",27N/27N,04-07-20,3
YM WELLSPRING,FP2,INBOUND,07-07-20 14:00,SCT2,Starboard,09-07-20 2:00,"Jeddah, Saudi Arabia",G23/H23,04-07-20,4
NAVI BALTIC,RFS4,CANCELED,07-07-20 19:00,SCT4,Starboard,08-07-20 7:10,"Rotterdam, Netherlands",27R/27R,04-07-20,5
GREETJE,ISX4,INBOUND,07-07-20 19:30,SCT3,Starboard,08-07-20 7:30,"Cork, Ireland",27C/27C,04-07-20,6
BG JADE,BGLP2,INBOUND,08-07-20 7:00,SCT1,Portside,09-07-20 7:00,"Rotterdam, Netherlands",26L/26L,04-07-20,7
MAERSK BULAN,ECU,INBOUND,09-07-20 7:00,SCT2,Portside,09-07-20 19:00,"Antwerpen, Belgium",Q28/P28,04-07-20,8
INDEPENDENT PURSUIT,ICL,INBOUND,09-07-20 19:00,SCT1,Portside,10-07-20 7:00,"Antwerpen, Belgium",Y27/Z27,04-07-20,9
HMM COPENHAGEN,FE2,INBOUND,09-07-20 19:00,SCT5,Starboard,11-07-20 19:00,"Hamburg, Germany",C22/D22,04-07-20,10
CMA CGM OTELLO,ATA,INBOUND,11-07-20 7:30,SCT2,Starboard,11-07-20 23:00,"Antwerpen, Belgium",T26/U26,04-07-20,11
CMA CGM ANTOINE DE SAINT EXUPERY,NEU4E,INBOUND,11-07-20 7:30,SCT5,Starboard,12-07-20 23:59,"Le Havre, France",N27/N27,04-07-20,12
APL RAFFLES,NEU4I,INBOUND,13-07-20 19:00,SCT5,Starboard,15-07-20 19:00,"Dunkerque, France",M26/M26,04-07-20,13
NYK NEBULA,AL5,INBOUND,13-07-20 19:00,SCT1,Starboard,14-07-20 7:00,"Rotterdam, Netherlands",K30/L30,04-07-20,14
MSC ESTHI,EPIC1,INBOUND,13-07-20 19:30,SCT3,Starboard,14-07-20 7:30,"Rotterdam, Netherlands",R28/S28,04-07-20,15
OOCL MONTREAL,GEX2,INBOUND,14-07-20 7:00,SCT2,Starboard,14-07-20 19:00,"Antwerpen, Belgium",V26/W26,04-07-20,16
