iso_code,continent,location,date,Year,Quarter,Month,total_cases,new_cases
GBR,Europe,United Kingdom,31-01-20,2020,1,January,2,2
GBR,Europe,United Kingdom,01-02-20,2020,1,February,2,0
GBR,Europe,United Kingdom,02-02-20,2020,1,February,2,0
GBR,Europe,United Kingdom,03-02-20,2020,1,February,8,6
GBR,Europe,United Kingdom,04-02-20,2020,1,February,8,0
GBR,Europe,United Kingdom,05-02-20,2020,1,February,9,1
GBR,Europe,United Kingdom,06-02-20,2020,1,February,9,0
GBR,Europe,United Kingdom,07-02-20,2020,1,February,9,0
GBR,Europe,United Kingdom,08-02-20,2020,1,February,13,4
GBR,Europe,United Kingdom,09-02-20,2020,1,February,14,1
GBR,Europe,United Kingdom,10-02-20,2020,1,February,14,0
GBR,Europe,United Kingdom,11-02-20,2020,1,February,15,1
GBR,Europe,United Kingdom,12-02-20,2020,1,February,16,1
GBR,Europe,United Kingdom,13-02-20,2020,1,February,17,1
GBR,Europe,United Kingdom,14-02-20,2020,1,February,18,1
GBR,Europe,United Kingdom,15-02-20,2020,1,February,18,0
GBR,Europe,United Kingdom,16-02-20,2020,1,February,18,0
GBR,Europe,United Kingdom,17-02-20,2020,1,February,19,1
GBR,Europe,United Kingdom,18-02-20,2020,1,February,19,0
GBR,Europe,United Kingdom,19-02-20,2020,1,February,20,1
GBR,Europe,United Kingdom,20-02-20,2020,1,February,22,2
GBR,Europe,United Kingdom,21-02-20,2020,1,February,23,1
GBR,Europe,United Kingdom,22-02-20,2020,1,February,23,0
GBR,Europe,United Kingdom,23-02-20,2020,1,February,28,5
GBR,Europe,United Kingdom,24-02-20,2020,1,February,30,2
GBR,Europe,United Kingdom,25-02-20,2020,1,February,34,4
GBR,Europe,United Kingdom,26-02-20,2020,1,February,37,3
GBR,Europe,United Kingdom,27-02-20,2020,1,February,44,7
GBR,Europe,United Kingdom,28-02-20,2020,1,February,56,12
GBR,Europe,United Kingdom,29-02-20,2020,1,February,61,5
GBR,Europe,United Kingdom,01-03-20,2020,1,March,94,33
GBR,Europe,United Kingdom,02-03-20,2020,1,March,134,40
GBR,Europe,United Kingdom,03-03-20,2020,1,March,189,55
GBR,Europe,United Kingdom,04-03-20,2020,1,March,246,57
GBR,Europe,United Kingdom,05-03-20,2020,1,March,295,49
GBR,Europe,United Kingdom,06-03-20,2020,1,March,374,79
GBR,Europe,United Kingdom,07-03-20,2020,1,March,429,55
GBR,Europe,United Kingdom,08-03-20,2020,1,March,483,54
GBR,Europe,United Kingdom,09-03-20,2020,1,March,630,147
GBR,Europe,United Kingdom,10-03-20,2020,1,March,889,259
GBR,Europe,United Kingdom,11-03-20,2020,1,March,1301,412
GBR,Europe,United Kingdom,12-03-20,2020,1,March,1790,489
GBR,Europe,United Kingdom,13-03-20,2020,1,March,2270,480
GBR,Europe,United Kingdom,14-03-20,2020,1,March,2634,364
GBR,Europe,United Kingdom,15-03-20,2020,1,March,3077,443
GBR,Europe,United Kingdom,16-03-20,2020,1,March,3692,615
GBR,Europe,United Kingdom,17-03-20,2020,1,March,4462,770
GBR,Europe,United Kingdom,18-03-20,2020,1,March,5468,1006
GBR,Europe,United Kingdom,19-03-20,2020,1,March,6534,1066
