Ship_ID,Vessel_Name,Service,ETA,ATA,Berth,Side to,Next port of call,Ref,Delay,Size,Dwt,GT,Flag,Built,Month,Builder,Owner Group,Alternative_Fuel,SOx_Scrubber,Eco_Engine,Days_Before_ETA_Info
AL DAHNA - C07/D07,al dahna,FE2,2021-03-04 16:00:00,2021-03-09 02:58:00,SCT5,Starboard,"Hamburg, Germany",C07/D07,6418.0,"18,800","199,744","195,636",Malta,2016.0,1.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,13.0
AL DAHNA - C23/D23,al dahna,FE2,2021-07-21 07:30:00,2021-07-21 23:36:00,SCT5,Starboard,"Hamburg, Germany",C23/D23,966.0,"18,800","199,744","195,636",Malta,2016.0,1.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,11.0
AL DAHNA - C26/D26,al dahna,FE2,2020-08-06 19:00:00,2020-08-07 20:40:00,SCT5,Starboard,"Hamburg, Germany",C26/D26,1540.0,"18,800","199,744","195,636",Malta,2016.0,1.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,13.0
AL DAHNA - C40/D40,al dahna,FE2,2020-11-18 10:00:00,2020-11-22 07:45:00,SCT5,Starboard,"Hamburg, Germany",C40/D40,5625.0,"18,800","199,744","195,636",Malta,2016.0,1.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,13.0
AL HILAL - O27/O27,al hilal,AL2,2021-07-05 07:30:00,2021-07-10 15:48:00,SCT3,Starboard,"Rotterdam, Netherlands",O27/O27,7698.0,"6,921","85,437","75,579",Liberia,2008.0,9.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine,15.0
AL KHARJ - O17/O17,al kharj,AL2,2021-04-26 07:30:00,2021-04-28 09:00:00,SCT2,Starboard,"Rotterdam, Netherlands",O17/O17,2970.0,"6,921","85,614","75,579",Liberia,2008.0,2.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine,11.0
AL NEFUD - C02/D02,al nefud,FE2,2021-01-19 19:30:00,2021-01-26 23:41:00,SCT5,Starboard,"Hamburg, Germany",C02/D02,10331.0,"18,800","199,744","195,636",Malta,2015.0,11.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,15.0
AL NEFUD - C16/D16,al nefud,FE2,2021-05-17 11:59:00,2021-05-22 21:08:00,SCT5,Starboard,"Hamburg, Germany",C16/D16,7749.0,"18,800","199,744","195,636",Malta,2015.0,11.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,12.0
AL NEFUD - C29/D29,al nefud,FE2,2021-09-10 07:00:00,2021-09-10 04:30:00,SCT5,Starboard,"Hamburg, Germany",C29/D29,-150.0,"18,800","199,744","195,636",Malta,2015.0,11.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,16.0
AL NEFUD - C35/D35,al nefud,FE2,2020-10-08 19:30:00,2020-10-09 04:19:00,SCT5,Starboard,"Hamburg, Germany",C35/D35,529.0,"18,800","199,744","195,636",Malta,2015.0,11.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,14.0
AL RAWDAH - O16/O16,al rawdah,AL2,2021-04-19 07:30:00,2021-04-19 19:24:00,SCT2,Starboard,"Rotterdam, Netherlands",O16/O16,714.0,"6,921","85,326","75,579",Marshall Islands,2008.0,10.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine,14.0
AL RAWDAH - O21/O21,al rawdah,AL2,2021-05-24 07:30:00,2021-05-27 12:00:00,SCT2,Starboard,"Rotterdam, Netherlands",O21/O21,4590.0,"6,921","85,326","75,579",Marshall Islands,2008.0,10.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine,14.0
AL RIFFA - E13/F13,al riffa,FE4,2021-06-19 23:59:00,2021-06-23 19:36:00,SCT2,Starboard,"Hamburg, Germany",E13/F13,5497.0,"13,470","145,327","141,077",Malta,2012.0,4.0,Samsung HI,Hapag-Lloyd,0,Fitted,Eco – Electronic Engine,15.0
AL SAFAT - O18/O18,al safat,AL2,2021-05-03 07:30:00,2021-05-03 08:41:00,SCT2,Starboard,"Rotterdam, Netherlands",O18/O18,71.0,"6,921","85,437","75,579",Liberia,2008.0,1.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine,13.0
AL SAFAT - O23/O23,al safat,AL2,2021-06-07 07:30:00,2021-06-09 01:10:00,SCT2,Starboard,"Rotterdam, Netherlands",O23/O23,2500.0,"6,921","85,437","75,579",Liberia,2008.0,1.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine,13.0
AL SAFAT - O29/O29,al safat,AL2,2021-07-24 07:31:00,2021-07-24 02:52:00,SCT3,Starboard,"Le Havre, France",O29/O29,-279.0,"6,921","85,437","75,579",Liberia,2008.0,1.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine,14.0
AL SAFAT - O34/O34,al safat,AL2,2021-08-28 07:30:00,2021-08-30 06:30:00,SCT3,Starboard,"Le Havre, France",O34/O34,2820.0,"6,921","85,437","75,579",Liberia,2008.0,1.0,Hyundai HI (Ulsan),Hapag-Lloyd,0,0,Eco – Electronic Engine,13.0
AL ZUBARA - C08/D08,al zubara,FE2,2021-03-22 11:59:00,2021-03-28 15:40:00,SCT5,Starboard,"Hamburg, Germany",C08/D08,8861.0,"18,800","199,744","195,636",Malta,2015.0,12.0,Hyundai Samho HI,Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,12.0
AL ZUBARA - C21/D21,al zubara,FE2,2021-07-01 19:30:00,2021-07-01 06:30:00,SCT5,Starboard,"Hamburg, Germany",C21/D21,-780.0,"18,800","199,744","195,636",Malta,2015.0,12.0,Hyundai Samho HI,Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,17.0
AL ZUBARA - C27/D27,al zubara,FE2,2020-08-13 19:00:00,2020-08-14 01:30:00,SCT5,Starboard,"Hamburg, Germany",C27/D27,390.0,"18,800","199,744","195,636",Malta,2015.0,12.0,Hyundai Samho HI,Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,15.0
AL ZUBARA - E26/F26,al zubara,FE4,2020-11-20 10:00:00,2020-11-24 08:30:00,SCT5,Starboard,"Hamburg, Germany",E26/F26,5670.0,"18,800","199,744","195,636",Malta,2015.0,12.0,Hyundai Samho HI,Hapag-Lloyd,0,0,Eco – Electronic Engine Modern,15.0
ALDEBARAN J - X44/X44,aldebaran j,ADHOC,2020-10-28 07:30:00,2020-10-28 14:50:00,SCT2,Starboard,"OPTIONAL,",X44/X44,440.0,972,"10,950","8,550",Antigua & Barbuda,2006.0,8.0,Hegemann Rolandwerft,Jungerhans & Co,0,0,0,3.0
AMERICA - R35/S35,america,EPIC1,2020-08-31 19:30:00,2020-09-03 03:10:00,SCT3,Starboard,"Rotterdam, Netherlands",R35/S35,3340.0,"8,468","101,612","90,645",Cyprus,2004.0,11.0,Samsung HI,Danaos Shipping,0,Fitted,0,12.0
AMERICA - R43/S43,america,EPIC1,2020-10-26 19:01:00,2020-10-27 02:15:00,SCT3,Starboard,"Rotterdam, Netherlands",R43/S43,434.0,"8,468","101,612","90,645",Cyprus,2004.0,11.0,Samsung HI,Danaos Shipping,0,Fitted,0,12.0
ANGELA - 59A/59A,angela,ISX3,2021-09-07 07:30:00,2021-09-08 11:32:00,SCT4,Starboard,"Rotterdam, Netherlands",59A/59A,1682.0,862,"11,403","9,962",Gibraltar,2005.0,12.0,J. J. Sietas,Mikkel Myklebusthaug,0,0,0,13.0
ANGELA - 64A/64A,angela,ISX3,2021-09-20 19:30:00,2021-09-21 09:25:00,SCT4,Starboard,"Rotterdam, Netherlands",64A/64A,835.0,862,"11,403","9,962",Gibraltar,2005.0,12.0,J. J. Sietas,Mikkel Myklebusthaug,0,0,0,16.0
ANGELA - X28/X28,angela,ADHOC,2020-08-21 19:00:00,2020-08-21 19:30:00,SCT2,Starboard,"OPTIONAL,",X28/X28,30.0,862,"11,403","9,962",Gibraltar,2005.0,12.0,J. J. Sietas,Mikkel Myklebusthaug,0,0,0,2.0
ANTON SCHULTE - R33/S33,anton schulte,IPAK,2021-08-16 19:30:00,2021-08-21 00:40:00,SCT3,Starboard,"Rotterdam, Netherlands",R33/S33,6070.0,"7,241","90,443","75,582",Malta,2009.0,9.0,Hyundai HI (Ulsan),Schulte Group,0,0,0,12.0
APL CHANGI - M08/M08,apl changi,FAL3,2021-02-27 07:30:00,2021-02-27 00:29:00,SCT2,Starboard,"Rotterdam, Netherlands",M08/M08,-421.0,"17,292","177,380","166,253",Singapore,2013.0,6.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,12.0
APL CHANGI - M20/M20,apl changi,FAL3,2021-05-27 19:30:00,2021-05-28 15:14:00,SCT2,Starboard,"Rotterdam, Netherlands",M20/M20,1184.0,"17,292","177,380","166,253",Singapore,2013.0,6.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,13.0
APL CHANGI - M31/M31,apl changi,FAL3,2021-08-04 19:30:00,2021-08-07 01:26:00,SCT2,Starboard,"Rotterdam, Netherlands",M31/M31,3236.0,"17,292","177,380","166,253",Singapore,2013.0,6.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,16.0
APL CHONGQING - J03/J03,apl chongqing,EPIC,2021-02-23 19:00:00,2021-02-24 21:30:00,SCT3,Starboard,"Bremerhaven, Germany",J03/J03,1590.0,"10,106","122,200","113,735",Singapore,2011.0,12.0,Hyundai HI (Ulsan),CMA CGM,0,0,Eco – Electronic Engine,14.0
APL CHONGQING - J10/J10,apl chongqing,EPIC,2021-04-20 12:00:00,2021-04-24 00:10:00,SCT3,Starboard,"Bremerhaven, Germany",J10/J10,5050.0,"10,106","122,200","113,735",Singapore,2011.0,12.0,Hyundai HI (Ulsan),CMA CGM,0,0,Eco – Electronic Engine,16.0
APL FULLERTON - M12/M12,apl fullerton,FAL3,2021-03-24 19:30:00,2021-03-25 02:50:00,SCT2,Starboard,"Rotterdam, Netherlands",M12/M12,440.0,"17,292","177,380","166,253",Singapore,2014.0,3.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,15.0
APL FULLERTON - M24/M24,apl fullerton,FAL3,2021-06-16 19:30:00,2021-06-18 10:06:00,SCT2,Starboard,"Rotterdam, Netherlands",M24/M24,2316.0,"17,292","177,380","166,253",Singapore,2014.0,3.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,18.0
APL FULLERTON - M34/M34,apl fullerton,FAL3,2021-08-25 19:30:00,2021-08-28 17:20:00,SCT2,Starboard,"Rotterdam, Netherlands",M34/M34,4190.0,"17,292","177,380","166,253",Singapore,2014.0,3.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,16.0
APL FULLERTON - M50/M50,apl fullerton,NEU3,2020-12-27 07:00:00,2021-01-08 21:00:00,SCT5,Starboard,"Hamburg, Germany",M50/M50,18120.0,"17,292","177,380","166,253",Singapore,2014.0,3.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,42.0
APL LION CITY - M07/M07,apl lion city,FAL3,2021-02-19 23:59:00,2021-02-19 18:30:00,SCT2,Starboard,"Rotterdam, Netherlands",M07/M07,-329.0,"17,292","177,380","166,253",Singapore,2013.0,4.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,15.0
APL LION CITY - M19/M19,apl lion city,FAL3,2021-05-11 11:59:00,2021-05-13 03:23:00,SCT2,Starboard,"Rotterdam, Netherlands",M19/M19,2364.0,"17,292","177,380","166,253",Singapore,2013.0,4.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,11.0
APL LION CITY - M30/M30,apl lion city,FAL3,2021-07-28 19:30:00,2021-08-03 16:55:00,SCT2,Starboard,"Rotterdam, Netherlands",M30/M30,8485.0,"17,292","177,380","166,253",Singapore,2013.0,4.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,14.0
APL MERLION - M03/M03,apl merlion,FAL3,2021-01-24 07:30:00,2021-02-01 15:57:00,SCT5,Starboard,"Rotterdam, Netherlands",M03/M03,12027.0,"17,292","177,300","166,253",Singapore,2014.0,2.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,14.0
APL MERLION - M16/M16,apl merlion,FAL3,2021-04-23 07:30:00,2021-04-21 19:30:00,SCT2,Starboard,"Rotterdam, Netherlands",M16/M16,-2160.0,"17,292","177,300","166,253",Singapore,2014.0,2.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,13.0
APL MERLION - M27/M27,apl merlion,FAL3,2021-07-12 19:30:00,2021-07-14 18:20:00,SCT2,Starboard,"Rotterdam, Netherlands",M27/M27,2810.0,"17,292","177,300","166,253",Singapore,2014.0,2.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,13.0
APL MERLION - M38/M38,apl merlion,FAL3,2021-09-26 07:00:00,2021-09-28 02:00:00,SCT2,Starboard,"Rotterdam, Netherlands",M38/M38,2580.0,"17,292","177,300","166,253",Singapore,2014.0,2.0,Hyundai Samho HI,CMA CGM,0,Fitted,Eco – Electronic Engine,11.0
APL NEW YORK - J01/J01,apl new york,EPIC,2021-02-09 19:00:00,2021-02-22 03:30:00,SCT3,Starboard,"Bremerhaven, Germany",J01/J01,17790.0,"9,200","108,550","109,712",Singapore,2013.0,4.0,Daewoo (DSME),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,16.0
APL NEW YORK - J16/J16,apl new york,EPIC,2021-06-02 10:00:00,2021-06-01 13:20:00,SCT3,Starboard,"Bremerhaven, Germany",J16/J16,-1240.0,"9,200","108,550","109,712",Singapore,2013.0,4.0,Daewoo (DSME),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,13.0
APL NEW YORK - J24/J24,apl new york,EPIC,2021-07-27 13:00:00,2021-07-27 12:32:00,SCT2,Starboard,"Bremerhaven, Germany",J24/J24,-28.0,"9,200","108,550","109,712",Singapore,2013.0,4.0,Daewoo (DSME),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,13.0
APL NEW YORK - J32/J32,apl new york,EPIC,2021-09-28 13:00:00,2021-09-28 19:40:00,SCT3,Starboard,"Bremerhaven, Germany",J32/J32,400.0,"9,200","108,550","109,712",Singapore,2013.0,4.0,Daewoo (DSME),Atlas Corp (Seaspan),0,0,Eco – Electronic Engine,14.0
