Ship_ID,Vessel Name,Service,Phase,ETA,ATA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Delay
AL DAHNA - C07/D07,AL DAHNA,FE2,ARRIVED,2021-03-04 16:00:00,2021-03-09 02:58:00,SCT5,Starboard,2021-03-07 04:00:00,"Hamburg, Germany",C07/D07,2021-02-20 00:00:00,2577,6418.0
AL DAHNA - C23/D23,AL DAHNA,FE2,ARRIVED,2021-07-21 07:30:00,2021-07-21 23:36:00,SCT5,Starboard,2021-07-24 07:30:00,"Hamburg, Germany",C23/D23,2021-07-10 00:00:00,1261,966.0
AL DAHNA - C26/D26,AL DAHNA,FE2,ARRIVED,2020-08-06 19:00:00,2020-08-07 20:40:00,SCT5,Starboard,2020-08-08 19:00:00,"Hamburg, Germany",C26/D26,2020-07-25 00:00:00,3686,1540.0
AL DAHNA - C40/D40,AL DAHNA,FE2,ARRIVED,2020-11-18 10:00:00,2020-11-22 07:45:00,SCT5,Starboard,2020-11-20 10:00:00,"Hamburg, Germany",C40/D40,2020-11-05 00:00:00,785,5625.0
AL HILAL - O27/O27,AL HILAL,AL2,ARRIVED,2021-07-05 07:30:00,2021-07-10 15:48:00,SCT3,Starboard,2021-07-05 19:30:00,"Rotterdam, Netherlands",O27/O27,2021-06-20 00:00:00,2807,7698.0
AL KHARJ - O17/O17,AL KHARJ,AL2,ARRIVED,2021-04-26 07:30:00,2021-04-28 09:00:00,SCT2,Starboard,2021-04-27 07:30:00,"Rotterdam, Netherlands",O17/O17,2021-04-15 00:00:00,1829,2970.0
AL NEFUD - C02/D02,AL NEFUD,FE2,ARRIVED,2021-01-19 19:30:00,2021-01-26 23:41:00,SCT5,Starboard,2021-01-21 19:30:00,"Hamburg, Germany",C02/D02,2021-01-05 00:00:00,69,10331.0
AL NEFUD - C16/D16,AL NEFUD,FE2,ARRIVED,2021-05-17 11:59:00,2021-05-22 21:08:00,SCT5,Starboard,2021-05-20 19:30:00,"Hamburg, Germany",C16/D16,2021-05-05 00:00:00,278,7749.0
AL NEFUD - C29/D29,AL NEFUD,FE2,ARRIVED,2021-09-10 07:00:00,2021-09-10 04:30:00,SCT5,Starboard,2021-09-13 07:00:00,"Hamburg, Germany",C29/D29,2021-08-25 00:00:00,3860,-150.0
AL NEFUD - C35/D35,AL NEFUD,FE2,ARRIVED,2020-10-08 19:30:00,2020-10-09 04:19:00,SCT5,Starboard,2020-10-10 19:30:00,"Hamburg, Germany",C35/D35,2020-09-25 00:00:00,3934,529.0
AL RAWDAH - O16/O16,AL RAWDAH,AL2,ARRIVED,2021-04-19 07:30:00,2021-04-19 19:24:00,SCT2,Starboard,2021-04-20 07:30:00,"Rotterdam, Netherlands",O16/O16,2021-04-05 00:00:00,231,714.0
AL RAWDAH - O21/O21,AL RAWDAH,AL2,ARRIVED,2021-05-24 07:30:00,2021-05-27 12:00:00,SCT2,Starboard,2021-05-25 07:30:00,"Rotterdam, Netherlands",O21/O21,2021-05-10 00:00:00,1104,4590.0
AL RIFFA - E13/F13,AL RIFFA,FE4,ARRIVED,2021-06-19 23:59:00,2021-06-23 19:36:00,SCT2,Starboard,2021-06-22 07:30:00,"Hamburg, Germany",E13/F13,2021-06-05 00:00:00,373,5497.0
AL SAFAT - O18/O18,AL SAFAT,AL2,ARRIVED,2021-05-03 07:30:00,2021-05-03 08:41:00,SCT2,Starboard,2021-05-04 07:30:00,"Rotterdam, Netherlands",O18/O18,2021-04-20 00:00:00,2664,71.0
AL SAFAT - O23/O23,AL SAFAT,AL2,ARRIVED,2021-06-07 07:30:00,2021-06-09 01:10:00,SCT2,Starboard,2021-06-07 19:30:00,"Rotterdam, Netherlands",O23/O23,2021-05-25 00:00:00,3563,2500.0
AL SAFAT - O29/O29,AL SAFAT,AL2,ARRIVED,2021-07-24 07:31:00,2021-07-24 02:52:00,SCT3,Starboard,2021-07-24 19:30:00,"Le Havre, France",O29/O29,2021-07-10 00:00:00,1250,-279.0
AL SAFAT - O34/O34,AL SAFAT,AL2,ARRIVED,2021-08-28 07:30:00,2021-08-30 06:30:00,SCT3,Starboard,2021-08-29 03:00:00,"Le Havre, France",O34/O34,2021-08-15 00:00:00,2141,2820.0
AL ZUBARA - C08/D08,AL ZUBARA,FE2,ARRIVED,2021-03-22 11:59:00,2021-03-28 15:40:00,SCT5,Starboard,2021-03-26 19:00:00,"Hamburg, Germany",C08/D08,2021-03-10 00:00:00,1019,8861.0
AL ZUBARA - C21/D21,AL ZUBARA,FE2,ARRIVED,2021-07-01 19:30:00,2021-07-01 06:30:00,SCT5,Starboard,2021-07-04 07:30:00,"Hamburg, Germany",C21/D21,2021-06-15 00:00:00,1915,-780.0
AL ZUBARA - C27/D27,AL ZUBARA,FE2,ARRIVED,2020-08-13 19:00:00,2020-08-14 01:30:00,SCT5,Starboard,2020-08-15 19:00:00,"Hamburg, Germany",C27/D27,2020-07-30 00:00:00,4514,390.0
AL ZUBARA - E26/F26,AL ZUBARA,FE4,ARRIVED,2020-11-20 10:00:00,2020-11-24 08:30:00,SCT5,Starboard,2020-11-21 16:00:00,"Hamburg, Germany",E26/F26,2020-11-05 00:00:00,781,5670.0
ALDEBARAN J - X44/X44,ALDEBARAN J,ADHOC,ARRIVED,2020-10-28 07:30:00,2020-10-28 14:50:00,SCT2,Starboard,2020-10-29 07:30:00,"OPTIONAL,",X44/X44,2020-10-25 00:00:00,4037,440.0
AMERICA - R35/S35,AMERICA,EPIC1,ARRIVED,2020-08-31 19:30:00,2020-09-03 03:10:00,SCT3,Starboard,2020-09-01 07:30:00,"Rotterdam, Netherlands",R35/S35,2020-08-20 00:00:00,2946,3340.0
AMERICA - R43/S43,AMERICA,EPIC1,ARRIVED,2020-10-26 19:01:00,2020-10-27 02:15:00,SCT3,Starboard,2020-10-27 07:00:00,"Rotterdam, Netherlands",R43/S43,2020-10-15 00:00:00,2263,434.0
ANGELA - 59A/59A,ANGELA,ISX3,ARRIVED,2021-09-07 07:30:00,2021-09-08 11:32:00,SCT4,Starboard,2021-09-08 07:30:00,"Rotterdam, Netherlands",59A/59A,2021-08-25 00:00:00,3852,1682.0
ANGELA - 64A/64A,ANGELA,ISX3,ARRIVED,2021-09-20 19:30:00,2021-09-21 09:25:00,SCT4,Starboard,2021-09-21 19:30:00,"Rotterdam, Netherlands",64A/64A,2021-09-05 00:00:00,637,835.0
ANGELA - X28/X28,ANGELA,ADHOC,ARRIVED,2020-08-21 19:00:00,2020-08-21 19:30:00,SCT2,Starboard,2020-08-22 07:00:00,"OPTIONAL,",X28/X28,2020-08-20 00:00:00,2969,30.0
ANTON SCHULTE - R33/S33,ANTON SCHULTE,IPAK,ARRIVED,2021-08-16 19:30:00,2021-08-21 00:40:00,SCT3,Starboard,2021-08-17 07:30:00,"Rotterdam, Netherlands",R33/S33,2021-08-05 00:00:00,493,6070.0
APL CHANGI - M08/M08,APL CHANGI,FAL3,ARRIVED,2021-02-27 07:30:00,2021-02-27 00:29:00,SCT2,Starboard,2021-03-01 19:30:00,"Rotterdam, Netherlands",M08/M08,2021-02-15 00:00:00,1700,-421.0
APL CHANGI - M20/M20,APL CHANGI,FAL3,ARRIVED,2021-05-27 19:30:00,2021-05-28 15:14:00,SCT2,Starboard,2021-05-29 19:30:00,"Rotterdam, Netherlands",M20/M20,2021-05-15 00:00:00,1866,1184.0
